fastbaps_cluster	genome_1	genome_2	dist	patient.x	country.x	patient.y	country.y
fastbaps_cluster_01	23IE185_S24_L001	ERR12861624	102	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861630	102	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861633	110	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861634	110	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861649	106	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861674	82	P01	Ireland	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861441	23IE184_S23_L001	82	Wetzstein_131	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861441	23IE185_S24_L001	82	Wetzstein_131	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861441	ERR12861441	0	Wetzstein_131	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861441	ERR12861595	177	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861602	168	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861605	168	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861612	177	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861620	176	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861624	168	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861630	168	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861633	176	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861634	176	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861649	172	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861441	ERR12861674	0	Wetzstein_131	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861595	23IE184_S23_L001	111	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861595	23IE185_S24_L001	111	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861595	ERR12861441	177	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861595	ERR12861595	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861602	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861605	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861612	2	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861620	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861624	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861630	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861633	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861634	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861649	13	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861595	ERR12861674	177	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861602	23IE184_S23_L001	102	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861602	23IE185_S24_L001	102	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861602	ERR12861441	168	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861602	ERR12861595	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861602	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861605	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861612	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861620	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861624	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861630	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861633	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861634	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861649	4	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861602	ERR12861674	168	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861605	23IE184_S23_L001	102	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861605	23IE185_S24_L001	102	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861605	ERR12861441	168	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861605	ERR12861595	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861602	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861605	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861612	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861620	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861624	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861630	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861633	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861634	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861649	4	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861605	ERR12861674	168	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861612	23IE184_S23_L001	111	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861612	23IE185_S24_L001	111	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861612	ERR12861441	177	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861612	ERR12861595	2	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861602	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861605	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861612	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861620	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861624	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861630	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861633	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861634	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861649	13	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861612	ERR12861674	177	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861620	23IE184_S23_L001	110	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861620	23IE185_S24_L001	110	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861620	ERR12861441	176	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861620	ERR12861595	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861602	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861605	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861612	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861620	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861624	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861630	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861633	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861634	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861649	12	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861620	ERR12861674	176	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861624	23IE184_S23_L001	102	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861624	23IE185_S24_L001	102	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861624	ERR12861441	168	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861624	ERR12861595	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861602	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861605	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861612	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861620	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861624	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861630	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861633	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861634	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861649	4	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861624	ERR12861674	168	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861630	23IE184_S23_L001	102	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861630	23IE185_S24_L001	102	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861630	ERR12861441	168	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861630	ERR12861595	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861602	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861605	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861612	9	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861620	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861624	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861630	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861633	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861634	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861649	4	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861630	ERR12861674	168	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861633	23IE184_S23_L001	110	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861633	23IE185_S24_L001	110	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861633	ERR12861441	176	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861633	ERR12861595	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861602	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861605	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861612	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861620	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861624	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861630	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861633	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861634	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861649	12	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861633	ERR12861674	176	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861634	23IE184_S23_L001	110	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861634	23IE185_S24_L001	110	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861634	ERR12861441	176	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861634	ERR12861595	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861602	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861605	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861612	1	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861620	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861624	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861630	8	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861633	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861634	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861649	12	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861634	ERR12861674	176	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861649	23IE184_S23_L001	106	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861649	23IE185_S24_L001	106	Wetzstein_090	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861649	ERR12861441	172	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861649	ERR12861595	13	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861602	4	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861605	4	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861612	13	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861620	12	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861624	4	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861630	4	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861633	12	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861634	12	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861649	0	Wetzstein_090	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861649	ERR12861674	172	Wetzstein_090	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861674	23IE184_S23_L001	82	Wetzstein_131	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861674	23IE185_S24_L001	82	Wetzstein_131	Germany	P01	Ireland
fastbaps_cluster_01	ERR12861674	ERR12861441	0	Wetzstein_131	Germany	Wetzstein_131	Germany
fastbaps_cluster_01	ERR12861674	ERR12861595	177	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861602	168	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861605	168	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861612	177	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861620	176	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861624	168	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861630	168	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861633	176	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861634	176	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861649	172	Wetzstein_131	Germany	Wetzstein_090	Germany
fastbaps_cluster_01	ERR12861674	ERR12861674	0	Wetzstein_131	Germany	Wetzstein_131	Germany
fastbaps_cluster_02	ERR12861437	ERR12861437	0	Wetzstein_131	Germany	Wetzstein_131	Germany
fastbaps_cluster_02	ERR12861437	ERR12861503	6718	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861510	6713	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861514	6714	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861515	6713	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861535	6715	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861556	6714	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861561	6714	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861582	6720	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861629	6714	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861664	6713	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861437	ERR12861665	6714	Wetzstein_131	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861437	6718	Wetzstein_065	Germany	Wetzstein_131	Germany
fastbaps_cluster_02	ERR12861503	ERR12861503	0	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861510	7	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861514	8	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861515	7	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861535	9	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861556	8	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861561	8	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861582	14	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861629	8	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861664	7	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861503	ERR12861665	8	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861437	6713	Wetzstein_065	Germany	Wetzstein_131	Germany
fastbaps_cluster_02	ERR12861510	ERR12861503	7	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861510	0	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861514	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861515	0	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861535	4	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861556	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861561	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861582	7	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861629	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861664	0	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861510	ERR12861665	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861437	6714	Wetzstein_065	Germany	Wetzstein_131	Germany
fastbaps_cluster_02	ERR12861514	ERR12861503	8	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861510	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861514	0	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861515	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861535	5	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861556	2	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861561	2	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861582	8	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861629	2	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861664	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861514	ERR12861665	2	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861437	6713	Wetzstein_065	Germany	Wetzstein_131	Germany
fastbaps_cluster_02	ERR12861515	ERR12861503	7	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861510	0	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861514	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861515	0	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861535	4	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861556	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861561	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861582	7	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861629	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861664	0	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861515	ERR12861665	1	Wetzstein_065	Germany	Wetzstein_065	Germany
fastbaps_cluster_02	ERR12861535	ERR12861437	6715	Wetzstein_065	Germany	Wetzstein_131	Germany
fastbaps_cluster_02	ERR12861535	ERR12861503	9	Wetzstein_065	Germany	Wetzstein_065	Germany
