gene.id	gene.name	cds.id	chr	chr.coding.start	chr.coding.end	cds.start	cds.end	length	strand
IMFOIEKC_00026:IMFOIEKC_00026	IMFOIEKC_00026:IMFOIEKC_00026	IMFOIEKC_00026:IMFOIEKC_00026	gnl|X|IMFOIEKC_1	27796	28293	1	498	498	-1
IMFOIEKC_00027:IMFOIEKC_00027	IMFOIEKC_00027:IMFOIEKC_00027	IMFOIEKC_00027:IMFOIEKC_00027	gnl|X|IMFOIEKC_1	28481	30382	1	1902	1902	1
IMFOIEKC_00028:IMFOIEKC_00028	IMFOIEKC_00028:IMFOIEKC_00028	IMFOIEKC_00028:IMFOIEKC_00028	gnl|X|IMFOIEKC_1	30382	30858	1	477	477	1
IMFOIEKC_00029:IMFOIEKC_00029	IMFOIEKC_00029:IMFOIEKC_00029	IMFOIEKC_00029:IMFOIEKC_00029	gnl|X|IMFOIEKC_1	31478	31717	1	240	240	-1
IMFOIEKC_00030:IMFOIEKC_00030	IMFOIEKC_00030:IMFOIEKC_00030	IMFOIEKC_00030:IMFOIEKC_00030	gnl|X|IMFOIEKC_1	31801	32232	1	432	432	-1
IMFOIEKC_00031:xerC_1	IMFOIEKC_00031:xerC_1	IMFOIEKC_00031:xerC_1	gnl|X|IMFOIEKC_1	32222	34453	1	2232	2232	-1
IMFOIEKC_00032:xerD_1	IMFOIEKC_00032:xerD_1	IMFOIEKC_00032:xerD_1	gnl|X|IMFOIEKC_1	34450	35556	1	1107	1107	-1
IMFOIEKC_00033:IMFOIEKC_00033	IMFOIEKC_00033:IMFOIEKC_00033	IMFOIEKC_00033:IMFOIEKC_00033	gnl|X|IMFOIEKC_1	35689	35901	1	213	213	1
IMFOIEKC_00034:yagA	IMFOIEKC_00034:yagA	IMFOIEKC_00034:yagA	gnl|X|IMFOIEKC_1	35891	36499	1	609	609	-1
IMFOIEKC_00036:IMFOIEKC_00036	IMFOIEKC_00036:IMFOIEKC_00036	IMFOIEKC_00036:IMFOIEKC_00036	gnl|X|IMFOIEKC_1	36742	37947	1	1206	1206	-1
IMFOIEKC_00037:IMFOIEKC_00037	IMFOIEKC_00037:IMFOIEKC_00037	IMFOIEKC_00037:IMFOIEKC_00037	gnl|X|IMFOIEKC_1	38103	39707	1	1605	1605	1
IMFOIEKC_00038:topA	IMFOIEKC_00038:topA	IMFOIEKC_00038:topA	gnl|X|IMFOIEKC_1	39704	42442	1	2739	2739	-1
IMFOIEKC_00039:IMFOIEKC_00039	IMFOIEKC_00039:IMFOIEKC_00039	IMFOIEKC_00039:IMFOIEKC_00039	gnl|X|IMFOIEKC_1	42707	43297	1	591	591	-1
IMFOIEKC_00040:cspA	IMFOIEKC_00040:cspA	IMFOIEKC_00040:cspA	gnl|X|IMFOIEKC_1	43486	43689	1	204	204	-1
IMFOIEKC_00041:srmB	IMFOIEKC_00041:srmB	IMFOIEKC_00041:srmB	gnl|X|IMFOIEKC_1	43938	46268	1	2331	2331	1
IMFOIEKC_00042:IMFOIEKC_00042	IMFOIEKC_00042:IMFOIEKC_00042	IMFOIEKC_00042:IMFOIEKC_00042	gnl|X|IMFOIEKC_1	46351	47388	1	1038	1038	1
IMFOIEKC_00043:IMFOIEKC_00043	IMFOIEKC_00043:IMFOIEKC_00043	IMFOIEKC_00043:IMFOIEKC_00043	gnl|X|IMFOIEKC_1	47385	47678	1	294	294	-1
IMFOIEKC_00044:IMFOIEKC_00044	IMFOIEKC_00044:IMFOIEKC_00044	IMFOIEKC_00044:IMFOIEKC_00044	gnl|X|IMFOIEKC_1	47710	47979	1	270	270	-1
IMFOIEKC_00045:IMFOIEKC_00045	IMFOIEKC_00045:IMFOIEKC_00045	IMFOIEKC_00045:IMFOIEKC_00045	gnl|X|IMFOIEKC_1	48036	48236	1	201	201	-1
IMFOIEKC_00046:IMFOIEKC_00046	IMFOIEKC_00046:IMFOIEKC_00046	IMFOIEKC_00046:IMFOIEKC_00046	gnl|X|IMFOIEKC_1	48255	48857	1	603	603	-1
IMFOIEKC_00047:IMFOIEKC_00047	IMFOIEKC_00047:IMFOIEKC_00047	IMFOIEKC_00047:IMFOIEKC_00047	gnl|X|IMFOIEKC_1	48865	49668	1	804	804	-1
IMFOIEKC_00048:IMFOIEKC_00048	IMFOIEKC_00048:IMFOIEKC_00048	IMFOIEKC_00048:IMFOIEKC_00048	gnl|X|IMFOIEKC_1	49665	50840	1	1176	1176	-1
IMFOIEKC_00049:IMFOIEKC_00049	IMFOIEKC_00049:IMFOIEKC_00049	IMFOIEKC_00049:IMFOIEKC_00049	gnl|X|IMFOIEKC_1	50837	51952	1	1116	1116	-1
IMFOIEKC_00050:IMFOIEKC_00050	IMFOIEKC_00050:IMFOIEKC_00050	IMFOIEKC_00050:IMFOIEKC_00050	gnl|X|IMFOIEKC_1	52237	53259	1	1023	1023	1
IMFOIEKC_00051:IMFOIEKC_00051	IMFOIEKC_00051:IMFOIEKC_00051	IMFOIEKC_00051:IMFOIEKC_00051	gnl|X|IMFOIEKC_1	53725	54456	1	732	732	-1
IMFOIEKC_00052:gsiA	IMFOIEKC_00052:gsiA	IMFOIEKC_00052:gsiA	gnl|X|IMFOIEKC_1	54473	56119	1	1647	1647	-1
IMFOIEKC_00053:oppC	IMFOIEKC_00053:oppC	IMFOIEKC_00053:oppC	gnl|X|IMFOIEKC_1	56116	56991	1	876	876	-1
IMFOIEKC_00054:dppB	IMFOIEKC_00054:dppB	IMFOIEKC_00054:dppB	gnl|X|IMFOIEKC_1	56984	57910	1	927	927	-1
IMFOIEKC_00055:oppA	IMFOIEKC_00055:oppA	IMFOIEKC_00055:oppA	gnl|X|IMFOIEKC_1	57912	59537	1	1626	1626	-1
IMFOIEKC_00056:IMFOIEKC_00056	IMFOIEKC_00056:IMFOIEKC_00056	IMFOIEKC_00056:IMFOIEKC_00056	gnl|X|IMFOIEKC_1	59623	60165	1	543	543	-1
IMFOIEKC_00057:acsA	IMFOIEKC_00057:acsA	IMFOIEKC_00057:acsA	gnl|X|IMFOIEKC_1	60280	62232	1	1953	1953	1
IMFOIEKC_00058:IMFOIEKC_00058	IMFOIEKC_00058:IMFOIEKC_00058	IMFOIEKC_00058:IMFOIEKC_00058	gnl|X|IMFOIEKC_1	62354	63052	1	699	699	-1
IMFOIEKC_00059:IMFOIEKC_00059	IMFOIEKC_00059:IMFOIEKC_00059	IMFOIEKC_00059:IMFOIEKC_00059	gnl|X|IMFOIEKC_1	63246	63785	1	540	540	1
IMFOIEKC_00060:IMFOIEKC_00060	IMFOIEKC_00060:IMFOIEKC_00060	IMFOIEKC_00060:IMFOIEKC_00060	gnl|X|IMFOIEKC_1	64215	65951	1	1737	1737	-1
IMFOIEKC_00061:nudL	IMFOIEKC_00061:nudL	IMFOIEKC_00061:nudL	gnl|X|IMFOIEKC_1	65948	66766	1	819	819	-1
IMFOIEKC_00062:resA_1	IMFOIEKC_00062:resA_1	IMFOIEKC_00062:resA_1	gnl|X|IMFOIEKC_1	66796	67464	1	669	669	-1
IMFOIEKC_00063:nth	IMFOIEKC_00063:nth	IMFOIEKC_00063:nth	gnl|X|IMFOIEKC_1	67489	68169	1	681	681	-1
IMFOIEKC_00064:IMFOIEKC_00064	IMFOIEKC_00064:IMFOIEKC_00064	IMFOIEKC_00064:IMFOIEKC_00064	gnl|X|IMFOIEKC_1	68343	68738	1	396	396	1
IMFOIEKC_00065:crp_1	IMFOIEKC_00065:crp_1	IMFOIEKC_00065:crp_1	gnl|X|IMFOIEKC_1	68843	69517	1	675	675	1
IMFOIEKC_00066:gloB_1	IMFOIEKC_00066:gloB_1	IMFOIEKC_00066:gloB_1	gnl|X|IMFOIEKC_1	69708	70511	1	804	804	-1
IMFOIEKC_00067:IMFOIEKC_00067	IMFOIEKC_00067:IMFOIEKC_00067	IMFOIEKC_00067:IMFOIEKC_00067	gnl|X|IMFOIEKC_1	70508	70984	1	477	477	-1
IMFOIEKC_00068:IMFOIEKC_00068	IMFOIEKC_00068:IMFOIEKC_00068	IMFOIEKC_00068:IMFOIEKC_00068	gnl|X|IMFOIEKC_1	70985	71146	1	162	162	-1
IMFOIEKC_00069:IMFOIEKC_00069	IMFOIEKC_00069:IMFOIEKC_00069	IMFOIEKC_00069:IMFOIEKC_00069	gnl|X|IMFOIEKC_1	71265	72236	1	972	972	1
IMFOIEKC_00070:IMFOIEKC_00070	IMFOIEKC_00070:IMFOIEKC_00070	IMFOIEKC_00070:IMFOIEKC_00070	gnl|X|IMFOIEKC_1	72233	73375	1	1143	1143	1
IMFOIEKC_00071:whiB4	IMFOIEKC_00071:whiB4	IMFOIEKC_00071:whiB4	gnl|X|IMFOIEKC_1	73438	73650	1	213	213	-1
IMFOIEKC_00072:mtgA	IMFOIEKC_00072:mtgA	IMFOIEKC_00072:mtgA	gnl|X|IMFOIEKC_1	74152	76581	1	2430	2430	1
IMFOIEKC_00073:IMFOIEKC_00073	IMFOIEKC_00073:IMFOIEKC_00073	IMFOIEKC_00073:IMFOIEKC_00073	gnl|X|IMFOIEKC_1	76639	77652	1	1014	1014	1
IMFOIEKC_00074:cysK	IMFOIEKC_00074:cysK	IMFOIEKC_00074:cysK	gnl|X|IMFOIEKC_1	77649	78752	1	1104	1104	1
IMFOIEKC_00076:IMFOIEKC_00076	IMFOIEKC_00076:IMFOIEKC_00076	IMFOIEKC_00076:IMFOIEKC_00076	gnl|X|IMFOIEKC_1	78905	79516	1	612	612	-1
IMFOIEKC_00077:IMFOIEKC_00077	IMFOIEKC_00077:IMFOIEKC_00077	IMFOIEKC_00077:IMFOIEKC_00077	gnl|X|IMFOIEKC_1	79719	80408	1	690	690	1
IMFOIEKC_00078:IMFOIEKC_00078	IMFOIEKC_00078:IMFOIEKC_00078	IMFOIEKC_00078:IMFOIEKC_00078	gnl|X|IMFOIEKC_1	80458	81051	1	594	594	-1
IMFOIEKC_00079:IMFOIEKC_00079	IMFOIEKC_00079:IMFOIEKC_00079	IMFOIEKC_00079:IMFOIEKC_00079	gnl|X|IMFOIEKC_1	81154	81456	1	303	303	-1
IMFOIEKC_00080:IMFOIEKC_00080	IMFOIEKC_00080:IMFOIEKC_00080	IMFOIEKC_00080:IMFOIEKC_00080	gnl|X|IMFOIEKC_1	81579	81896	1	318	318	-1
IMFOIEKC_00081:IMFOIEKC_00081	IMFOIEKC_00081:IMFOIEKC_00081	IMFOIEKC_00081:IMFOIEKC_00081	gnl|X|IMFOIEKC_1	82041	82745	1	705	705	1
IMFOIEKC_00082:IMFOIEKC_00082	IMFOIEKC_00082:IMFOIEKC_00082	IMFOIEKC_00082:IMFOIEKC_00082	gnl|X|IMFOIEKC_1	82756	83265	1	510	510	-1
IMFOIEKC_00083:rsfB_1	IMFOIEKC_00083:rsfB_1	IMFOIEKC_00083:rsfB_1	gnl|X|IMFOIEKC_1	83311	83679	1	369	369	-1
IMFOIEKC_00084:IMFOIEKC_00084	IMFOIEKC_00084:IMFOIEKC_00084	IMFOIEKC_00084:IMFOIEKC_00084	gnl|X|IMFOIEKC_1	83850	84752	1	903	903	1
IMFOIEKC_00085:rsbS	IMFOIEKC_00085:rsbS	IMFOIEKC_00085:rsbS	gnl|X|IMFOIEKC_1	84775	85164	1	390	390	1
IMFOIEKC_00086:rsbT	IMFOIEKC_00086:rsbT	IMFOIEKC_00086:rsbT	gnl|X|IMFOIEKC_1	85154	85564	1	411	411	1
IMFOIEKC_00087:IMFOIEKC_00087	IMFOIEKC_00087:IMFOIEKC_00087	IMFOIEKC_00087:IMFOIEKC_00087	gnl|X|IMFOIEKC_1	85557	86183	1	627	627	1
IMFOIEKC_00088:IMFOIEKC_00088	IMFOIEKC_00088:IMFOIEKC_00088	IMFOIEKC_00088:IMFOIEKC_00088	gnl|X|IMFOIEKC_1	86180	88390	1	2211	2211	1
IMFOIEKC_00089:IMFOIEKC_00089	IMFOIEKC_00089:IMFOIEKC_00089	IMFOIEKC_00089:IMFOIEKC_00089	gnl|X|IMFOIEKC_1	88433	89464	1	1032	1032	1
IMFOIEKC_00090:IMFOIEKC_00090	IMFOIEKC_00090:IMFOIEKC_00090	IMFOIEKC_00090:IMFOIEKC_00090	gnl|X|IMFOIEKC_1	89400	89645	1	246	246	-1
IMFOIEKC_00091:prmC_1	IMFOIEKC_00091:prmC_1	IMFOIEKC_00091:prmC_1	gnl|X|IMFOIEKC_1	89642	90331	1	690	690	-1
IMFOIEKC_00092:yhbO	IMFOIEKC_00092:yhbO	IMFOIEKC_00092:yhbO	gnl|X|IMFOIEKC_1	90442	90996	1	555	555	-1
IMFOIEKC_00093:fgd1_1	IMFOIEKC_00093:fgd1_1	IMFOIEKC_00093:fgd1_1	gnl|X|IMFOIEKC_1	91022	92008	1	987	987	-1
IMFOIEKC_00094:IMFOIEKC_00094	IMFOIEKC_00094:IMFOIEKC_00094	IMFOIEKC_00094:IMFOIEKC_00094	gnl|X|IMFOIEKC_1	92057	93142	1	1086	1086	-1
IMFOIEKC_00095:fdnH	IMFOIEKC_00095:fdnH	IMFOIEKC_00095:fdnH	gnl|X|IMFOIEKC_1	93139	94113	1	975	975	-1
IMFOIEKC_00096:fdhA	IMFOIEKC_00096:fdhA	IMFOIEKC_00096:fdhA	gnl|X|IMFOIEKC_1	94113	96776	1	2664	2664	-1
IMFOIEKC_00097:napA_1	IMFOIEKC_00097:napA_1	IMFOIEKC_00097:napA_1	gnl|X|IMFOIEKC_1	96846	97427	1	582	582	-1
IMFOIEKC_00099:selA	IMFOIEKC_00099:selA	IMFOIEKC_00099:selA	gnl|X|IMFOIEKC_1	98633	99934	1	1302	1302	1
IMFOIEKC_00100:tuf_1	IMFOIEKC_00100:tuf_1	IMFOIEKC_00100:tuf_1	gnl|X|IMFOIEKC_1	99922	101634	1	1713	1713	1
IMFOIEKC_00101:yqeY	IMFOIEKC_00101:yqeY	IMFOIEKC_00101:yqeY	gnl|X|IMFOIEKC_1	101644	102144	1	501	501	-1
IMFOIEKC_00102:IMFOIEKC_00102	IMFOIEKC_00102:IMFOIEKC_00102	IMFOIEKC_00102:IMFOIEKC_00102	gnl|X|IMFOIEKC_1	102194	103363	1	1170	1170	1
IMFOIEKC_00103:IMFOIEKC_00103	IMFOIEKC_00103:IMFOIEKC_00103	IMFOIEKC_00103:IMFOIEKC_00103	gnl|X|IMFOIEKC_1	103388	104041	1	654	654	1
IMFOIEKC_00104:IMFOIEKC_00104	IMFOIEKC_00104:IMFOIEKC_00104	IMFOIEKC_00104:IMFOIEKC_00104	gnl|X|IMFOIEKC_1	104041	105174	1	1134	1134	1
IMFOIEKC_00105:IMFOIEKC_00105	IMFOIEKC_00105:IMFOIEKC_00105	IMFOIEKC_00105:IMFOIEKC_00105	gnl|X|IMFOIEKC_1	105171	106154	1	984	984	1
IMFOIEKC_00106:IMFOIEKC_00106	IMFOIEKC_00106:IMFOIEKC_00106	IMFOIEKC_00106:IMFOIEKC_00106	gnl|X|IMFOIEKC_1	106151	107473	1	1323	1323	1
IMFOIEKC_00107:IMFOIEKC_00107	IMFOIEKC_00107:IMFOIEKC_00107	IMFOIEKC_00107:IMFOIEKC_00107	gnl|X|IMFOIEKC_1	107486	108478	1	993	993	-1
IMFOIEKC_00108:IMFOIEKC_00108	IMFOIEKC_00108:IMFOIEKC_00108	IMFOIEKC_00108:IMFOIEKC_00108	gnl|X|IMFOIEKC_1	108559	109431	1	873	873	1
IMFOIEKC_00109:IMFOIEKC_00109	IMFOIEKC_00109:IMFOIEKC_00109	IMFOIEKC_00109:IMFOIEKC_00109	gnl|X|IMFOIEKC_1	109428	109817	1	390	390	-1
IMFOIEKC_00110:IMFOIEKC_00110	IMFOIEKC_00110:IMFOIEKC_00110	IMFOIEKC_00110:IMFOIEKC_00110	gnl|X|IMFOIEKC_1	110023	110739	1	717	717	1
IMFOIEKC_00111:glpK	IMFOIEKC_00111:glpK	IMFOIEKC_00111:glpK	gnl|X|IMFOIEKC_1	110772	112298	1	1527	1527	-1
IMFOIEKC_00112:gshA	IMFOIEKC_00112:gshA	IMFOIEKC_00112:gshA	gnl|X|IMFOIEKC_1	112405	113877	1	1473	1473	1
IMFOIEKC_00113:IMFOIEKC_00113	IMFOIEKC_00113:IMFOIEKC_00113	IMFOIEKC_00113:IMFOIEKC_00113	gnl|X|IMFOIEKC_1	113906	114568	1	663	663	1
IMFOIEKC_00114:egtE	IMFOIEKC_00114:egtE	IMFOIEKC_00114:egtE	gnl|X|IMFOIEKC_1	114572	115717	1	1146	1146	-1
IMFOIEKC_00115:egtD	IMFOIEKC_00115:egtD	IMFOIEKC_00115:egtD	gnl|X|IMFOIEKC_1	115714	116679	1	966	966	-1
IMFOIEKC_00116:egtC_1	IMFOIEKC_00116:egtC_1	IMFOIEKC_00116:egtC_1	gnl|X|IMFOIEKC_1	116679	117377	1	699	699	-1
IMFOIEKC_00117:egtB	IMFOIEKC_00117:egtB	IMFOIEKC_00117:egtB	gnl|X|IMFOIEKC_1	117377	118678	1	1302	1302	-1
IMFOIEKC_00118:egtA	IMFOIEKC_00118:egtA	IMFOIEKC_00118:egtA	gnl|X|IMFOIEKC_1	118675	119985	1	1311	1311	-1
IMFOIEKC_00119:IMFOIEKC_00119	IMFOIEKC_00119:IMFOIEKC_00119	IMFOIEKC_00119:IMFOIEKC_00119	gnl|X|IMFOIEKC_1	120191	120853	1	663	663	-1
IMFOIEKC_00120:IMFOIEKC_00120	IMFOIEKC_00120:IMFOIEKC_00120	IMFOIEKC_00120:IMFOIEKC_00120	gnl|X|IMFOIEKC_1	120921	121439	1	519	519	-1
IMFOIEKC_00121:IMFOIEKC_00121	IMFOIEKC_00121:IMFOIEKC_00121	IMFOIEKC_00121:IMFOIEKC_00121	gnl|X|IMFOIEKC_1	121582	122043	1	462	462	-1
IMFOIEKC_00122:IMFOIEKC_00122	IMFOIEKC_00122:IMFOIEKC_00122	IMFOIEKC_00122:IMFOIEKC_00122	gnl|X|IMFOIEKC_1	122191	123339	1	1149	1149	-1
IMFOIEKC_00123:asd	IMFOIEKC_00123:asd	IMFOIEKC_00123:asd	gnl|X|IMFOIEKC_1	123347	124333	1	987	987	-1
IMFOIEKC_00124:ask	IMFOIEKC_00124:ask	IMFOIEKC_00124:ask	gnl|X|IMFOIEKC_1	124382	125647	1	1266	1266	-1
IMFOIEKC_00125:leuA	IMFOIEKC_00125:leuA	IMFOIEKC_00125:leuA	gnl|X|IMFOIEKC_1	125940	127739	1	1800	1800	1
IMFOIEKC_00126:dinG_1	IMFOIEKC_00126:dinG_1	IMFOIEKC_00126:dinG_1	gnl|X|IMFOIEKC_1	127740	128729	1	990	990	-1
IMFOIEKC_00127:murT	IMFOIEKC_00127:murT	IMFOIEKC_00127:murT	gnl|X|IMFOIEKC_1	128983	130233	1	1251	1251	1
IMFOIEKC_00128:gatD	IMFOIEKC_00128:gatD	IMFOIEKC_00128:gatD	gnl|X|IMFOIEKC_1	130226	130933	1	708	708	1
IMFOIEKC_00129:recR	IMFOIEKC_00129:recR	IMFOIEKC_00129:recR	gnl|X|IMFOIEKC_1	130948	131559	1	612	612	-1
IMFOIEKC_00130:ybaB	IMFOIEKC_00130:ybaB	IMFOIEKC_00130:ybaB	gnl|X|IMFOIEKC_1	131585	131911	1	327	327	-1
IMFOIEKC_00131:IMFOIEKC_00131	IMFOIEKC_00131:IMFOIEKC_00131	IMFOIEKC_00131:IMFOIEKC_00131	gnl|X|IMFOIEKC_1	132069	132806	1	738	738	1
IMFOIEKC_00132:IMFOIEKC_00132	IMFOIEKC_00132:IMFOIEKC_00132	IMFOIEKC_00132:IMFOIEKC_00132	gnl|X|IMFOIEKC_1	132803	133240	1	438	438	-1
IMFOIEKC_00133:IMFOIEKC_00133	IMFOIEKC_00133:IMFOIEKC_00133	IMFOIEKC_00133:IMFOIEKC_00133	gnl|X|IMFOIEKC_1	133289	134713	1	1425	1425	1
IMFOIEKC_00134:IMFOIEKC_00134	IMFOIEKC_00134:IMFOIEKC_00134	IMFOIEKC_00134:IMFOIEKC_00134	gnl|X|IMFOIEKC_1	134710	136020	1	1311	1311	1
IMFOIEKC_00135:dnaX	IMFOIEKC_00135:dnaX	IMFOIEKC_00135:dnaX	gnl|X|IMFOIEKC_1	136032	137870	1	1839	1839	-1
IMFOIEKC_00136:IMFOIEKC_00136	IMFOIEKC_00136:IMFOIEKC_00136	IMFOIEKC_00136:IMFOIEKC_00136	gnl|X|IMFOIEKC_1	138076	139362	1	1287	1287	-1
IMFOIEKC_00138:lucA	IMFOIEKC_00138:lucA	IMFOIEKC_00138:lucA	gnl|X|IMFOIEKC_1	139827	140660	1	834	834	1
IMFOIEKC_00139:IMFOIEKC_00139	IMFOIEKC_00139:IMFOIEKC_00139	IMFOIEKC_00139:IMFOIEKC_00139	gnl|X|IMFOIEKC_1	140657	141034	1	378	378	-1
IMFOIEKC_00140:IMFOIEKC_00140	IMFOIEKC_00140:IMFOIEKC_00140	IMFOIEKC_00140:IMFOIEKC_00140	gnl|X|IMFOIEKC_1	141178	141669	1	492	492	1
IMFOIEKC_00141:IMFOIEKC_00141	IMFOIEKC_00141:IMFOIEKC_00141	IMFOIEKC_00141:IMFOIEKC_00141	gnl|X|IMFOIEKC_1	141767	143455	1	1689	1689	1
IMFOIEKC_00142:IMFOIEKC_00142	IMFOIEKC_00142:IMFOIEKC_00142	IMFOIEKC_00142:IMFOIEKC_00142	gnl|X|IMFOIEKC_1	143446	144834	1	1389	1389	1
IMFOIEKC_00143:IMFOIEKC_00143	IMFOIEKC_00143:IMFOIEKC_00143	IMFOIEKC_00143:IMFOIEKC_00143	gnl|X|IMFOIEKC_1	144837	145136	1	300	300	-1
IMFOIEKC_00144:IMFOIEKC_00144	IMFOIEKC_00144:IMFOIEKC_00144	IMFOIEKC_00144:IMFOIEKC_00144	gnl|X|IMFOIEKC_1	145220	146548	1	1329	1329	1
IMFOIEKC_00145:IMFOIEKC_00145	IMFOIEKC_00145:IMFOIEKC_00145	IMFOIEKC_00145:IMFOIEKC_00145	gnl|X|IMFOIEKC_1	146545	147678	1	1134	1134	1
IMFOIEKC_00146:ord_1	IMFOIEKC_00146:ord_1	IMFOIEKC_00146:ord_1	gnl|X|IMFOIEKC_1	147717	148784	1	1068	1068	1
IMFOIEKC_00147:IMFOIEKC_00147	IMFOIEKC_00147:IMFOIEKC_00147	IMFOIEKC_00147:IMFOIEKC_00147	gnl|X|IMFOIEKC_1	148800	148961	1	162	162	-1
IMFOIEKC_00148:IMFOIEKC_00148	IMFOIEKC_00148:IMFOIEKC_00148	IMFOIEKC_00148:IMFOIEKC_00148	gnl|X|IMFOIEKC_1	149013	149705	1	693	693	1
IMFOIEKC_00149:IMFOIEKC_00149	IMFOIEKC_00149:IMFOIEKC_00149	IMFOIEKC_00149:IMFOIEKC_00149	gnl|X|IMFOIEKC_1	149728	150711	1	984	984	1
IMFOIEKC_00150:betI_1	IMFOIEKC_00150:betI_1	IMFOIEKC_00150:betI_1	gnl|X|IMFOIEKC_1	150708	151283	1	576	576	1
IMFOIEKC_00151:IMFOIEKC_00151	IMFOIEKC_00151:IMFOIEKC_00151	IMFOIEKC_00151:IMFOIEKC_00151	gnl|X|IMFOIEKC_1	151288	152490	1	1203	1203	-1
IMFOIEKC_00152:IMFOIEKC_00152	IMFOIEKC_00152:IMFOIEKC_00152	IMFOIEKC_00152:IMFOIEKC_00152	gnl|X|IMFOIEKC_1	152719	153552	1	834	834	1
IMFOIEKC_00153:IMFOIEKC_00153	IMFOIEKC_00153:IMFOIEKC_00153	IMFOIEKC_00153:IMFOIEKC_00153	gnl|X|IMFOIEKC_1	153493	155505	1	2013	2013	-1
IMFOIEKC_00154:IMFOIEKC_00154	IMFOIEKC_00154:IMFOIEKC_00154	IMFOIEKC_00154:IMFOIEKC_00154	gnl|X|IMFOIEKC_1	155710	155883	1	174	174	-1
