snp-dists 0.8.2	ERR12861620	ERR3524767	ERR4022294	ERR12861515	ERR12861619	23IE200_S39_L001	23IE167_S6_L001	23IE195_S34_L001	ERR12861633	ERR3524774	ERR12861582	ERR3337544	ERR12861624	ERR12861595	ERR3468923	ERR3468864	ERR12861441	ERR3337527	22IE192b_S8_L001	22IE243_S11_L001	ERR4022309	ERR12861572	ERR4022330	ERR6057651	ERR12861669	22IE83_L001	23IE168_S7_L001	ERR12861643	ERR3337601	ERR12861561	ERR3468814	ERR4022334	ERR6057642	23IE193_S32_L001	23IE179_S18_L001	23IE171_S10_L001	ERR12861548	ERR3468880	ERR12861436	ERR4022333	ERR3566339	ERR3468884	ERR4022430	23IE187_S26_L001	ERR12861657	23IE198_S37_L001	ERR3566300	ERR4022320	22IE327_S2_L001	ERR3468817	ERR3566317	ERR12861634	23IE181_S20_L001	ERR3337543	23IE189_S28_L001	23IE202_S41_L001	ERR3566299	ERR3468924	ERR3337480	ERR3524829	ERR6057622	ERR12861894	ERR12861516	23IE177_S16_L001	ERR12861630	ERR12861581	ERR3524777	ERR2988413	ERR2988387	ERR3566237	ERR3337493	ERR12861512	ERR4022350	ERR3337484	ERR12861505	ERR2988437	23IE174_S13_L001	ERR3468913	23IE170_S9_L001	ERR12861603	ERR12861448	ERR2988424	ERR12861629	ERR12861525	ERR3566347	ERR3468869	ERR12861610	ERR12861607	ERR3566274	ERR4022304	ERR3468899	ERR12861551	ERR12861546	23IE169_S8_L001	23IE184_S23_L001	ERR12861907	23IE190_S29_L001	ERR12861568	ERR12861438	ERR12861664	ERR12861673	ERR12861492	ERR4022397	ERR4022403	23IE192_S31_L001	ERR3566337	ERR3337584	ERR12861555	ERR4022429	ERR3337469	ERR12861659	23IE162_S1_L001	ERR12861677	ERR12861660	ERR12861649	ERR3337583	ERR6057648	ERR12861670	ERR12861491	ERR12861486	ERR12861904	ERR4022417	ERR12861556	23IE205_S44_L001	23IE186_S25_L001	ERR4022413	ERR12861663	ERR12861482	ERR12861674	ERR12861495	ERR3566357	ERR2988423	ERR4022377	ERR12861472	ERR12861535	ERR12861684	ERR3337559	ERR3566340	23IE203_S42_L001	ERR12861617	ERR4022364	ERR3566353	ERR3337423	23IE176_S15_L001	ERR12861579	ERR12861494	ERR12861662	ERR4022412	ERR2988441	ERR3566322	23IE191_S30_L001	ERR12861557	23IE199_S38_L001	ERR12861487	ERR12861671	ERR4022306	ERR3468976	ERR3468826	23IE178_S17_L001	23IE204_S43_L001	ERR3337595	ERR12861544	ERR3337478	ERR3468986	ERR12861612	ERR3337422	ERR12861605	ERR12861509	ERR3524821	ERR4339043	ERR3566352	ERR4339054	ERR12861681	ERR4022288	ERR3468878	ERR3468928	ERR12861589	ERR3337654	ERR12861685	23IE188_S27_L001	ERR3566356	ERR12861473	ERR3468906	23IE197_S36_L001	ERR6057683	23IE175_S14_L001	ERR3337566	ERR12861611	ERR4022366	ERR12861533	ERR12861682	ERR3468916	23IE166_S5_L001	ERR3566296	23IE183_S22_L001	ERR12861602	ERR12861470	ERR3524808	ERR2988421	ERR3337657	23IE185_S24_L001	ERR12861497	23IE206_S45_L001	ERR12861658	ERR3337592	23IE173_S12_L001	ERR12861672	ERR3337442	ERR12861493	ERR12861665	ERR4022415	ERR12861569	ERR3468832	ERR12861547	ERR2988378	ERR3468825	ERR12861550	ERR3468898	ERR12861499	ERR12861678	ERR3337448	ERR3468951	ERR3468955	ERR12861437	ERR2988361	ERR3566396	ERR12861454	ERR2988386	ERR4022346	ERR12861513	ERR12861631	ERR3337401	ERR3337551	ERR6057609	ERR12861580	ERR4022285	ERR3337416	ERR3337496	23IE196_S35_L001	ERR12861517	ERR2988416	ERR3566298	ERR4022355	ERR12861500	ERR12861593	ERR4022296	ERR12861635	ERR3337555	ERR12861584	ERR3337491	ERR12861510	ERR6057624	ERR3566288	ERR2988406	ERR12861457	ERR3337667	ERR3337415	ERR4022291	ERR3337649	23IE194_S33_L001	ERR3337482	ERR3468926	ERR12861503	ERR3337495	ERR3468931	ERR12861514	ERR12861636	23IE201_S40_L001	23IE182_S21_L001	ERR12861621	ERR3524766	23IE163_S2_L001	ERR3524848	ERR12861560	23IE207_S46_L001	23IE164_S3_L001	ERR3566386	23IE180_S19_L001	ERR12861559	ERR3468891	ERR6057647	ERR3337613	ERR12861573	ERR3468956	ERR3468806	23IE165_S4_L001	23IE172_S11_L001
ERR12861512	93	84	76	90	75	102	108	94	93	84	90	83	93	93	97	91	91	83	98	68	98	79	84	89	18	98	85	75	56	90	84	84	97	77	55	60	83	56	42	98	92	82	87	83	101	67	76	56	94	48	89	93	94	88	84	89	88	89	56	87	89	85	0	77	93	81	84	84	82	98	56	0	56	87	0	76	55	76	77	75	57	56	90	0	89	98	75	75	48	84	84	69	55	92	94	85	83	79	88	90	42	0	84	97	89	97	89	69	87	88	92	108	0	98	93	89	88	101	83	0	85	90	90	75	83	87	83	0	91	84	89	83	56	99	90	18	88	97	35	79	88	89	56	108	81	0	83	84	83	97	75	75	84	18	81	82	83	83	75	81	76	81	56	84	93	84	93	0	84	76	87	62	10	84	48	87	75	83	18	80	42	0	84	68	88	84	56	63	56	83	75	89	85	84	89	93	88	76	84	84	94	0	84	0	56	77	81	82	83	90	48	75	89	81	83	89	55	84	0	0	84	97	88	83	84	97	132	84	56	75	79	56	84	48	79	90	83	56	75	101	56	84	56	0	92	84	92	84	75	56	90	89	88	82	79	84	84	101	84	69	56	84	90	56	76	90	56	94	77	55	84	88	88	79	79	80	97	77	81	76	92	83	63	84	84	80	83
ERR4022350	83	69	71	76	66	90	102	88	83	69	76	96	83	83	87	95	81	73	85	79	94	81	69	89	60	85	68	66	0	76	68	69	87	63	48	42	70	0	65	94	98	95	70	69	87	59	71	0	88	78	89	83	88	66	69	89	66	89	0	85	89	63	56	87	83	71	69	69	95	94	0	56	0	87	56	71	48	71	75	66	46	0	76	56	89	88	66	66	78	69	69	65	29	92	82	63	69	81	78	76	65	56	69	87	89	87	89	65	70	66	78	102	56	94	83	89	66	87	68	56	63	86	76	83	68	70	77	56	81	72	89	70	0	96	76	60	66	87	44	81	66	89	0	102	71	56	77	69	73	87	83	66	69	60	70	95	73	73	83	70	71	71	0	69	83	69	83	56	82	71	70	60	58	69	78	70	66	73	60	89	65	56	69	79	66	69	0	67	0	70	66	89	68	69	89	83	78	71	69	69	82	56	69	56	0	63	70	95	68	76	78	66	89	71	73	89	29	69	56	56	69	87	66	81	69	87	129	69	0	66	81	0	69	78	81	86	73	0	83	87	0	69	0	56	78	69	78	69	66	0	76	89	66	95	81	69	69	97	69	65	0	69	76	0	71	76	63	88	63	29	69	66	66	81	89	60	87	75	70	71	98	73	67	69	69	60	68
ERR3337484	64	93	88	101	92	61	97	12	64	93	101	97	64	64	28	29	68	94	78	94	22	86	93	0	80	78	93	92	87	101	92	93	28	80	90	25	92	87	87	22	32	96	95	96	44	38	88	87	12	84	0	64	13	81	95	0	81	0	87	8	0	79	87	68	64	88	93	93	96	22	87	87	87	0	87	88	90	88	84	92	43	87	101	87	0	29	92	92	84	93	93	88	94	34	69	79	96	86	93	101	87	87	95	28	0	28	0	88	95	81	101	97	87	22	64	0	81	44	92	87	79	80	101	69	94	95	94	87	68	91	0	92	87	30	101	80	81	28	60	86	81	0	87	97	88	87	94	95	94	28	69	92	95	80	90	96	94	94	69	88	88	88	87	93	64	93	64	87	0	88	95	91	81	95	84	95	92	94	80	71	87	87	93	94	81	95	87	87	87	92	92	0	93	93	0	64	93	88	93	93	69	87	95	87	87	80	90	96	92	101	84	92	0	88	94	0	94	93	87	87	93	28	81	98	93	28	64	93	87	92	86	87	93	84	86	80	94	87	69	44	87	93	87	87	101	93	101	93	92	87	101	0	81	96	86	93	93	25	93	88	87	93	101	87	88	101	87	12	80	94	93	81	81	86	71	76	28	84	90	88	32	94	87	93	93	76	94
ERR12861505	93	84	76	90	75	102	108	94	93	84	90	83	93	93	97	91	91	83	98	68	98	79	84	89	18	98	85	75	56	90	84	84	97	77	55	60	83	56	42	98	92	82	87	83	101	67	76	56	94	48	89	93	94	88	84	89	88	89	56	87	89	85	0	77	93	81	84	84	82	98	56	0	56	87	0	76	55	76	77	75	57	56	90	0	89	98	75	75	48	84	84	69	55	92	94	85	83	79	88	90	42	0	84	97	89	97	89	69	87	88	92	108	0	98	93	89	88	101	83	0	85	90	90	75	83	87	83	0	91	84	89	83	56	99	90	18	88	97	35	79	88	89	56	108	81	0	83	84	83	97	75	75	84	18	81	82	83	83	75	81	76	81	56	84	93	84	93	0	84	76	87	62	10	84	48	87	75	83	18	80	42	0	84	68	88	84	56	63	56	83	75	89	85	84	89	93	88	76	84	84	94	0	84	0	56	77	81	82	83	90	48	75	89	81	83	89	55	84	0	0	84	97	88	83	84	97	132	84	56	75	79	56	84	48	79	90	83	56	75	101	56	84	56	0	92	84	92	84	75	56	90	89	88	82	79	84	84	101	84	69	56	84	90	56	76	90	56	94	77	55	84	88	88	79	79	80	97	77	81	76	92	83	63	84	84	80	83
ERR2988437	74	12	0	75	19	87	73	93	74	12	75	99	74	74	104	96	70	24	74	116	99	97	12	88	69	74	27	19	71	75	12	12	104	31	77	25	11	71	84	99	97	98	29	16	91	59	0	71	93	111	89	74	94	35	14	89	35	89	71	89	89	30	76	97	74	17	12	12	98	99	71	76	71	88	76	0	77	0	97	19	41	71	75	76	89	99	19	19	111	12	12	31	76	105	69	30	16	97	55	75	84	76	14	104	89	104	89	31	29	35	55	73	76	99	74	89	35	91	13	76	30	110	75	102	13	29	64	76	70	18	89	11	71	102	75	69	35	104	57	97	35	90	71	73	17	76	64	14	24	104	102	19	14	69	27	98	24	24	102	21	0	17	71	12	74	12	74	76	82	0	29	34	68	14	111	29	19	24	69	100	84	76	12	116	35	14	71	33	71	11	19	89	27	12	89	74	55	0	12	12	69	76	14	76	71	31	27	98	13	75	111	19	89	17	24	89	76	12	76	76	12	104	35	84	12	104	135	12	71	19	97	71	12	111	97	110	24	71	102	91	71	12	71	76	55	12	55	12	19	71	75	89	35	98	97	12	12	102	12	31	71	12	75	71	0	75	36	93	31	76	12	35	35	97	100	35	104	97	27	0	97	24	33	12	12	35	13
23IE174_S13_L001	83	87	77	92	82	100	93	98	83	87	92	74	83	83	97	87	87	85	91	59	102	76	87	91	60	91	83	82	48	92	87	87	97	86	0	63	86	48	51	102	88	73	87	91	94	65	77	48	98	58	92	83	99	88	87	92	88	92	48	92	92	85	55	73	83	86	87	87	73	102	48	55	48	90	55	77	0	77	80	82	52	48	92	55	92	104	82	82	58	87	87	84	49	102	84	85	91	76	84	92	51	55	87	97	92	97	92	84	87	88	84	93	55	102	83	92	88	94	86	55	85	81	92	71	86	87	80	55	87	91	92	86	48	101	92	60	88	97	34	76	88	93	48	93	86	55	80	87	85	97	71	82	87	60	78	73	85	85	71	84	77	86	48	87	83	87	83	55	85	77	87	77	57	87	58	87	82	85	60	76	51	55	87	59	88	87	48	76	48	86	82	92	83	87	92	83	84	77	87	87	84	55	87	55	48	86	78	73	86	92	58	82	92	86	85	92	49	87	55	55	87	97	88	81	87	97	140	87	48	82	76	48	87	58	76	81	85	48	71	94	48	87	48	55	84	87	84	87	82	48	92	92	88	73	76	87	87	105	87	84	48	87	92	48	77	92	77	98	86	49	87	88	88	76	75	86	97	80	78	77	88	85	76	87	87	86	86
ERR3468913	74	12	0	75	19	87	73	93	74	12	75	99	74	74	104	96	70	24	74	116	99	97	12	88	69	74	27	19	71	75	12	12	104	31	77	25	11	71	84	99	97	98	29	16	91	59	0	71	93	111	89	74	94	35	14	89	35	89	71	89	89	30	76	97	74	17	12	12	98	99	71	76	71	88	76	0	77	0	97	19	41	71	75	76	89	99	19	19	111	12	12	31	76	105	69	30	16	97	55	75	84	76	14	104	89	104	89	31	29	35	55	73	76	99	74	89	35	91	13	76	30	110	75	102	13	29	64	76	70	18	89	11	71	102	75	69	35	104	57	97	35	90	71	73	17	76	64	14	24	104	102	19	14	69	27	98	24	24	102	21	0	17	71	12	74	12	74	76	82	0	29	34	68	14	111	29	19	24	69	100	84	76	12	116	35	14	71	33	71	11	19	89	27	12	89	74	55	0	12	12	69	76	14	76	71	31	27	98	13	75	111	19	89	17	24	89	76	12	76	76	12	104	35	84	12	104	135	12	71	19	97	71	12	111	97	110	24	71	102	91	71	12	71	76	55	12	55	12	19	71	75	89	35	98	97	12	12	102	12	31	71	12	75	71	0	75	36	93	31	76	12	35	35	97	100	35	104	97	27	0	97	24	33	12	12	35	13
23IE170_S9_L001	88	95	97	100	94	89	104	83	88	95	100	98	88	88	82	94	90	99	94	87	85	20	95	86	77	94	94	94	75	100	95	95	82	87	80	57	94	75	85	85	98	97	96	97	82	60	97	75	83	78	86	88	83	90	97	86	90	86	75	79	86	90	77	86	88	99	95	95	97	85	75	77	75	84	77	97	80	97	0	94	61	75	100	77	86	89	94	94	78	95	95	89	75	85	90	90	97	20	90	100	84	77	97	82	86	82	86	89	96	90	92	104	77	85	88	86	90	82	94	77	90	83	100	85	96	96	91	77	90	98	86	94	75	96	100	77	90	82	58	20	90	86	75	104	99	77	91	97	99	82	85	94	97	77	97	97	99	99	85	102	97	99	75	95	88	95	88	77	81	97	96	88	83	97	78	96	94	99	77	89	85	77	95	87	90	97	75	92	75	94	94	86	94	95	86	88	90	97	95	95	90	77	97	77	75	87	97	97	94	100	78	94	86	99	99	86	75	95	77	77	95	82	90	97	95	82	131	95	75	94	20	75	95	78	20	83	99	75	85	82	75	95	75	77	92	95	92	95	94	75	100	86	90	97	20	95	95	88	95	89	75	95	100	75	97	100	87	83	87	75	95	90	90	20	89	85	82	0	97	97	98	99	92	95	95	85	96
ERR12861603	73	11	19	78	0	92	72	92	73	11	78	104	73	73	99	102	69	23	79	113	96	96	11	93	70	79	32	0	66	78	11	11	99	34	82	27	12	66	79	96	104	103	34	15	94	67	19	66	92	114	94	73	93	38	13	94	38	94	66	87	94	39	75	94	73	18	11	11	103	96	66	75	66	92	75	19	82	19	94	0	42	66	78	75	94	98	0	0	114	11	11	24	77	102	68	39	15	96	60	78	79	75	13	99	94	99	94	24	34	38	56	72	75	96	73	94	38	94	12	75	39	105	78	99	12	34	63	75	69	15	94	12	66	102	78	70	38	99	53	96	38	95	66	72	18	75	63	13	23	99	99	0	13	70	24	103	23	23	99	22	19	18	66	11	73	11	73	75	88	19	34	29	67	13	114	34	0	23	70	97	79	75	11	113	38	13	66	36	66	12	0	94	32	11	94	73	60	19	11	11	68	75	13	75	66	34	24	103	12	78	114	0	94	18	23	94	77	11	75	75	11	99	38	89	11	99	134	11	66	0	96	66	11	114	96	105	23	66	99	94	66	11	66	75	56	11	56	11	0	66	78	94	38	103	96	11	11	99	11	24	66	11	78	66	19	78	27	92	34	77	11	38	38	96	97	38	99	94	24	19	104	23	36	11	11	38	12
ERR12861448	10	40	41	44	42	47	57	45	10	40	44	69	10	10	52	46	0	38	51	68	52	60	40	45	50	51	29	42	46	44	40	40	52	34	52	14	39	46	57	52	46	68	33	40	46	25	41	46	45	66	45	10	45	28	41	45	28	45	46	45	45	31	57	51	10	35	40	40	68	52	46	57	46	43	57	41	52	41	61	42	0	46	44	57	45	45	42	42	66	40	40	46	52	53	2	31	40	60	34	44	57	57	41	52	45	52	45	46	33	28	50	57	57	52	10	45	28	46	40	57	31	75	44	55	40	33	41	57	0	38	45	39	46	47	44	50	28	52	38	60	28	45	46	57	35	57	41	41	38	52	55	42	41	50	42	68	38	38	55	34	41	35	46	40	10	40	10	57	42	41	33	49	52	41	66	33	42	38	50	53	57	57	40	68	28	41	46	35	46	39	42	45	29	40	45	10	34	41	40	40	2	57	41	57	46	34	42	68	40	44	66	42	45	35	38	45	52	40	57	57	40	52	28	32	40	52	78	40	46	42	60	46	40	66	60	75	38	46	55	46	46	40	46	57	50	40	50	40	42	46	44	45	28	68	60	40	40	54	40	46	46	40	44	46	41	44	46	45	34	52	40	28	28	60	53	32	52	61	42	41	46	38	35	40	40	32	40
ERR2988424	83	69	71	76	66	90	102	88	83	69	76	96	83	83	87	95	81	73	85	79	94	81	69	89	60	85	68	66	0	76	68	69	87	63	48	42	70	0	65	94	98	95	70	69	87	59	71	0	88	78	89	83	88	66	69	89	66	89	0	85	89	63	56	87	83	71	69	69	95	94	0	56	0	87	56	71	48	71	75	66	46	0	76	56	89	88	66	66	78	69	69	65	29	92	82	63	69	81	78	76	65	56	69	87	89	87	89	65	70	66	78	102	56	94	83	89	66	87	68	56	63	86	76	83	68	70	77	56	81	72	89	70	0	96	76	60	66	87	44	81	66	89	0	102	71	56	77	69	73	87	83	66	69	60	70	95	73	73	83	70	71	71	0	69	83	69	83	56	82	71	70	60	58	69	78	70	66	73	60	89	65	56	69	79	66	69	0	67	0	70	66	89	68	69	89	83	78	71	69	69	82	56	69	56	0	63	70	95	68	76	78	66	89	71	73	89	29	69	56	56	69	87	66	81	69	87	129	69	0	66	81	0	69	78	81	86	73	0	83	87	0	69	0	56	78	69	78	69	66	0	76	89	66	95	81	69	69	97	69	65	0	69	76	0	71	76	63	88	63	29	69	66	66	81	89	60	87	75	70	71	98	73	67	69	69	60	68
ERR12861629	95	73	75	0	78	100	94	98	95	73	0	98	95	95	107	99	89	77	95	109	106	98	73	102	86	95	68	78	76	0	72	73	107	69	92	47	72	76	97	106	102	97	72	77	89	69	75	76	98	100	103	95	99	64	73	103	64	103	76	98	103	67	90	95	95	75	73	73	97	106	76	90	76	101	90	75	92	75	100	78	44	76	0	90	103	100	78	78	100	73	73	81	83	110	90	67	77	98	60	0	97	90	73	107	103	107	103	81	72	64	52	94	90	106	95	103	64	89	74	90	67	106	0	99	72	72	54	90	89	80	103	72	76	107	0	86	64	107	64	98	64	103	76	94	75	90	54	73	77	107	99	78	73	86	88	97	77	77	99	74	75	75	76	73	95	73	95	90	96	75	72	84	84	73	100	72	78	77	86	98	97	90	73	109	64	73	76	76	76	72	78	103	68	73	103	95	60	75	73	73	90	90	73	90	76	69	88	97	74	0	100	78	103	75	77	103	83	73	90	90	73	107	64	43	73	107	138	73	76	78	98	76	73	100	98	106	77	76	99	89	76	73	76	90	52	73	52	73	78	76	0	103	64	97	98	73	73	107	73	81	76	73	0	76	75	0	81	98	69	83	73	64	64	98	97	64	107	100	88	75	102	77	76	73	73	64	72
ERR12861525	93	84	76	90	75	102	108	94	93	84	90	83	93	93	97	91	91	83	98	68	98	79	84	89	18	98	85	75	56	90	84	84	97	77	55	60	83	56	42	98	92	82	87	83	101	67	76	56	94	48	89	93	94	88	84	89	88	89	56	87	89	85	0	77	93	81	84	84	82	98	56	0	56	87	0	76	55	76	77	75	57	56	90	0	89	98	75	75	48	84	84	69	55	92	94	85	83	79	88	90	42	0	84	97	89	97	89	69	87	88	92	108	0	98	93	89	88	101	83	0	85	90	90	75	83	87	83	0	91	84	89	83	56	99	90	18	88	97	35	79	88	89	56	108	81	0	83	84	83	97	75	75	84	18	81	82	83	83	75	81	76	81	56	84	93	84	93	0	84	76	87	62	10	84	48	87	75	83	18	80	42	0	84	68	88	84	56	63	56	83	75	89	85	84	89	93	88	76	84	84	94	0	84	0	56	77	81	82	83	90	48	75	89	81	83	89	55	84	0	0	84	97	88	83	84	97	132	84	56	75	79	56	84	48	79	90	83	56	75	101	56	84	56	0	92	84	92	84	75	56	90	89	88	82	79	84	84	101	84	69	56	84	90	56	76	90	56	94	77	55	84	88	88	79	79	80	97	77	81	76	92	83	63	84	84	80	83
ERR3566347	66	95	89	103	94	63	99	13	66	95	103	98	66	66	30	30	70	96	79	95	25	88	95	0	81	79	94	94	89	103	94	95	30	82	92	26	94	89	89	25	33	97	96	98	46	40	89	89	13	85	0	66	14	83	97	0	83	0	89	9	0	80	89	69	66	90	95	95	97	25	89	89	89	0	89	89	92	89	86	94	45	89	103	89	0	31	94	94	85	95	95	90	96	35	71	80	98	88	95	103	89	89	97	30	0	30	0	90	96	83	103	99	89	25	66	0	83	46	94	89	80	81	103	70	96	96	96	89	70	93	0	94	89	31	103	81	83	30	61	88	83	0	89	99	90	89	96	97	96	30	70	94	97	81	92	97	96	96	70	90	89	90	89	95	66	95	66	89	0	89	96	93	83	97	85	96	94	96	81	72	89	89	95	95	83	97	89	89	89	94	94	0	94	95	0	66	95	89	95	95	71	89	97	89	89	82	92	97	94	103	85	94	0	90	96	0	96	95	89	89	95	30	83	100	95	30	65	95	89	94	88	89	95	85	88	81	96	89	70	46	89	95	89	89	103	95	103	95	94	89	103	0	83	97	88	95	95	28	95	90	89	95	103	89	89	103	89	13	82	96	95	83	83	88	72	77	30	86	92	89	33	96	89	95	95	77	96
ERR3468869	61	99	99	100	98	58	102	24	61	99	100	110	61	61	23	38	67	97	73	101	26	91	99	31	94	73	98	98	88	100	99	99	23	85	104	33	98	88	95	26	42	109	100	99	41	36	99	88	24	96	31	61	24	86	101	31	86	31	88	19	31	85	98	72	61	95	99	99	109	26	88	98	88	29	98	99	104	99	89	98	45	88	100	98	31	0	98	98	96	99	99	99	101	38	68	85	99	91	96	100	95	98	101	23	31	23	31	99	100	86	108	102	98	26	61	31	86	41	98	98	85	86	100	73	100	100	95	98	67	96	31	98	88	25	100	94	86	23	70	91	86	31	88	102	95	98	95	101	97	23	73	98	101	94	100	109	97	97	73	96	99	95	88	99	61	99	61	98	30	99	100	100	94	101	96	100	98	97	94	75	95	98	99	101	86	101	88	94	88	98	98	31	98	99	31	61	96	99	99	99	68	98	101	98	88	85	100	109	98	100	96	98	31	95	97	31	101	99	98	98	99	23	86	101	98	23	59	99	88	98	91	88	99	96	91	86	97	88	73	41	88	99	88	98	108	99	108	99	98	88	100	31	86	109	91	99	99	29	99	99	88	99	100	88	99	100	97	24	85	101	99	86	86	91	75	82	23	89	100	99	42	97	94	99	99	82	100
ERR12861610	73	11	19	78	0	92	72	92	73	11	78	104	73	73	99	102	69	23	79	113	96	96	11	93	70	79	32	0	66	78	11	11	99	34	82	27	12	66	79	96	104	103	34	15	94	67	19	66	92	114	94	73	93	38	13	94	38	94	66	87	94	39	75	94	73	18	11	11	103	96	66	75	66	92	75	19	82	19	94	0	42	66	78	75	94	98	0	0	114	11	11	24	77	102	68	39	15	96	60	78	79	75	13	99	94	99	94	24	34	38	56	72	75	96	73	94	38	94	12	75	39	105	78	99	12	34	63	75	69	15	94	12	66	102	78	70	38	99	53	96	38	95	66	72	18	75	63	13	23	99	99	0	13	70	24	103	23	23	99	22	19	18	66	11	73	11	73	75	88	19	34	29	67	13	114	34	0	23	70	97	79	75	11	113	38	13	66	36	66	12	0	94	32	11	94	73	60	19	11	11	68	75	13	75	66	34	24	103	12	78	114	0	94	18	23	94	77	11	75	75	11	99	38	89	11	99	134	11	66	0	96	66	11	114	96	105	23	66	99	94	66	11	66	75	56	11	56	11	0	66	78	94	38	103	96	11	11	99	11	24	66	11	78	66	19	78	27	92	34	77	11	38	38	96	97	38	99	94	24	19	104	23	36	11	11	38	12
ERR12861607	73	11	19	78	0	92	72	92	73	11	78	104	73	73	99	102	69	23	79	113	96	96	11	93	70	79	32	0	66	78	11	11	99	34	82	27	12	66	79	96	104	103	34	15	94	67	19	66	92	114	94	73	93	38	13	94	38	94	66	87	94	39	75	94	73	18	11	11	103	96	66	75	66	92	75	19	82	19	94	0	42	66	78	75	94	98	0	0	114	11	11	24	77	102	68	39	15	96	60	78	79	75	13	99	94	99	94	24	34	38	56	72	75	96	73	94	38	94	12	75	39	105	78	99	12	34	63	75	69	15	94	12	66	102	78	70	38	99	53	96	38	95	66	72	18	75	63	13	23	99	99	0	13	70	24	103	23	23	99	22	19	18	66	11	73	11	73	75	88	19	34	29	67	13	114	34	0	23	70	97	79	75	11	113	38	13	66	36	66	12	0	94	32	11	94	73	60	19	11	11	68	75	13	75	66	34	24	103	12	78	114	0	94	18	23	94	77	11	75	75	11	99	38	89	11	99	134	11	66	0	96	66	11	114	96	105	23	66	99	94	66	11	66	75	56	11	56	11	0	66	78	94	38	103	96	11	11	99	11	24	66	11	78	66	19	78	27	92	34	77	11	38	38	96	97	38	99	94	24	19	104	23	36	11	11	38	12
ERR3566274	103	121	111	100	114	112	113	88	103	121	100	76	103	103	91	76	101	117	113	45	96	68	121	85	60	113	111	114	78	100	120	121	91	109	58	73	120	78	53	96	78	75	115	121	85	65	111	78	88	0	85	103	89	114	121	85	114	85	78	85	85	113	48	67	103	119	121	121	75	96	78	48	78	84	48	111	58	111	78	114	66	78	100	48	85	96	114	114	0	121	121	105	65	84	104	113	121	68	100	100	53	48	121	91	85	91	85	105	115	114	104	113	48	96	103	85	114	85	120	48	113	80	100	65	120	115	95	48	101	124	85	120	78	93	100	60	114	91	28	68	114	85	78	113	119	48	95	121	117	91	65	114	121	60	110	75	117	117	65	118	111	119	78	121	103	121	103	48	80	111	115	98	58	121	0	115	114	117	60	69	53	48	121	45	114	121	78	104	78	120	114	85	111	121	85	103	100	111	121	121	104	48	121	48	78	109	110	75	120	100	0	114	85	119	117	85	65	121	48	48	121	91	114	89	121	91	129	121	78	114	68	78	121	0	68	80	117	78	65	85	78	121	78	48	104	121	104	121	114	78	100	85	114	75	68	121	121	99	121	105	78	121	100	78	111	100	97	88	109	65	121	114	114	68	69	112	91	78	110	111	78	117	104	121	121	112	120
ERR4022304	74	0	12	73	11	85	71	95	74	0	73	107	74	74	104	104	66	20	76	122	99	97	0	94	77	76	25	11	69	73	0	0	104	29	87	22	1	69	90	99	105	106	27	10	89	61	12	69	95	121	95	74	96	27	2	95	27	95	69	90	95	28	84	101	74	13	0	0	106	99	69	84	69	93	84	12	87	12	95	11	40	69	73	84	95	99	11	11	121	0	0	29	78	107	65	28	10	97	51	73	90	84	2	104	95	104	95	29	27	27	51	71	84	99	74	95	27	89	1	84	28	110	73	106	1	27	64	84	66	12	95	1	69	109	73	77	27	104	61	97	27	96	69	71	13	84	64	2	20	104	106	11	2	77	23	106	20	20	106	17	12	13	69	0	74	0	74	84	88	12	27	34	76	2	121	27	11	20	77	104	90	84	0	122	27	2	69	31	69	1	11	95	25	0	95	74	51	12	0	0	65	84	2	84	69	29	23	106	1	73	121	11	95	13	20	95	78	0	84	84	0	104	27	90	0	104	141	0	69	11	97	69	0	121	97	110	20	69	106	89	69	0	69	84	51	0	51	0	11	69	73	95	27	106	97	0	0	102	0	29	69	0	73	69	12	73	32	95	29	78	0	27	27	97	104	29	104	95	23	12	105	20	31	0	0	29	1
ERR3468899	74	0	12	73	11	85	71	95	74	0	73	107	74	74	104	104	66	20	76	122	99	97	0	94	77	76	25	11	69	73	0	0	104	29	87	22	1	69	90	99	105	106	27	10	89	61	12	69	95	121	95	74	96	27	2	95	27	95	69	90	95	28	84	101	74	13	0	0	106	99	69	84	69	93	84	12	87	12	95	11	40	69	73	84	95	99	11	11	121	0	0	29	78	107	65	28	10	97	51	73	90	84	2	104	95	104	95	29	27	27	51	71	84	99	74	95	27	89	1	84	28	110	73	106	1	27	64	84	66	12	95	1	69	109	73	77	27	104	61	97	27	96	69	71	13	84	64	2	20	104	106	11	2	77	23	106	20	20	106	17	12	13	69	0	74	0	74	84	88	12	27	34	76	2	121	27	11	20	77	104	90	84	0	122	27	2	69	31	69	1	11	95	25	0	95	74	51	12	0	0	65	84	2	84	69	29	23	106	1	73	121	11	95	13	20	95	78	0	84	84	0	104	27	90	0	104	141	0	69	11	97	69	0	121	97	110	20	69	106	89	69	0	69	84	51	0	51	0	11	69	73	95	27	106	97	0	0	102	0	29	69	0	73	69	12	73	32	95	29	78	0	27	27	97	104	29	104	95	23	12	105	20	31	0	0	29	1
